epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
164,10291.7,0.67746,0.97049,1.16903,0.77971,0.71517,0.75973,0.63197,0.58544,0.62905,1.14789,0.004621,0.004621,0.004621
165,11301.3,0.67726,0.97632,1.16856,0.77623,0.7191,0.76039,0.63191,0.58527,0.62811,1.14763,0.004588,0.004588,0.004588
166,12338.8,0.67741,0.95944,1.1679,0.7852,0.71411,0.76084,0.63242,0.58537,0.62744,1.14739,0.004555,0.004555,0.004555
167,13377.2,0.67736,0.96664,1.16723,0.7873,0.71249,0.76076,0.6323,0.58516,0.62759,1.14698,0.004522,0.004522,0.004522
168,14416.3,0.67686,0.96542,1.1672,0.78702,0.71304,0.76125,0.63305,0.58476,0.62708,1.14653,0.004489,0.004489,0.004489
169,15454.3,0.678,0.96494,1.16826,0.7842,0.71767,0.76215,0.63435,0.58479,0.62658,1.14636,0.004456,0.004456,0.004456
170,16492.6,0.67787,0.96418,1.16808,0.78961,0.71333,0.76309,0.63473,0.58529,0.62575,1.14662,0.004423,0.004423,0.004423
171,17530.8,0.67567,0.96102,1.16618,0.79057,0.71481,0.7634,0.63458,0.58585,0.62527,1.14702,0.00439,0.00439,0.00439
172,18568.6,0.67833,0.95792,1.16795,0.79251,0.71612,0.76352,0.63521,0.58533,0.62435,1.14656,0.004357,0.004357,0.004357
173,19607.4,0.6749,0.96055,1.16563,0.78927,0.72046,0.7641,0.63553,0.58499,0.62421,1.14609,0.004324,0.004324,0.004324
174,20649,0.67583,0.96299,1.16713,0.79416,0.71963,0.76483,0.63652,0.58435,0.62467,1.14561,0.004291,0.004291,0.004291
175,21687.3,0.67337,0.95984,1.16541,0.79778,0.7156,0.76481,0.63695,0.58374,0.62436,1.14508,0.004258,0.004258,0.004258
176,22725.2,0.67231,0.95652,1.16508,0.79549,0.71709,0.7649,0.63679,0.58378,0.62373,1.14505,0.004225,0.004225,0.004225
177,23762.6,0.67382,0.95847,1.16611,0.79678,0.71451,0.76526,0.63699,0.58393,0.62327,1.14495,0.004192,0.004192,0.004192
178,24800.1,0.67526,0.95644,1.16714,0.79572,0.71717,0.76511,0.63701,0.58323,0.62362,1.14427,0.004159,0.004159,0.004159
179,25837,0.67326,0.955,1.1647,0.79434,0.71823,0.76501,0.63759,0.58284,0.62387,1.14366,0.004126,0.004126,0.004126
180,26875.1,0.67431,0.95517,1.1656,0.79298,0.71857,0.76521,0.63753,0.58322,0.6239,1.14361,0.004093,0.004093,0.004093
181,27913.2,0.67071,0.95058,1.16364,0.80188,0.71268,0.76574,0.63728,0.58295,0.62331,1.14339,0.00406,0.00406,0.00406
182,28950.3,0.67097,0.94307,1.16339,0.79765,0.71439,0.76553,0.63702,0.58284,0.62359,1.14311,0.004027,0.004027,0.004027
183,979.787,0.66483,0.92602,1.16036,0.7975,0.71817,0.76673,0.63784,0.58261,0.62254,1.14255,0.003994,0.003994,0.003994
184,2010.73,0.66861,0.9436,1.16147,0.80392,0.7145,0.76819,0.63819,0.58281,0.62188,1.14259,0.003961,0.003961,0.003961
185,3038.89,0.66815,0.94814,1.16378,0.80084,0.71613,0.76794,0.63844,0.58299,0.62207,1.14325,0.003928,0.003928,0.003928
186,4044.86,0.67296,0.9429,1.16591,0.79965,0.71802,0.7683,0.63866,0.58339,0.62184,1.14357,0.003895,0.003895,0.003895
